enpass-bin 6.11.6.1833-1
eos-apps-info 24.8.2-1
eos-bash-shared 25.3.4-1
eos-hooks 1.16-1
eos-log-tool 25.3-1
eos-packagelist 2.3.1-2
eos-qogir-icons 6-1
eos-quickstart 1.4.1-1
eos-rankmirrors 25.3-1
eos-settings-gnome 2.6-1
eos-translations 25.3.0-1
ethtool 1:6.11-1
evince 48.0-1
exempi 2.6.5-1
exfatprogs 1.2.8-1
exiv2 0.28.5-1
expac 10-11
expat 2.7.0-1
f2fs-tools 1.16.0-3
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.1.1-1
fd 10.2.0-1
ffmpeg 2:7.1-7
ffmpegthumbnailer 2.2.3-3
fftw 3.3.10-7
file 5.46-4
file-roller 44.5-1
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 136.0.4-1
firewalld 2.3.0-2
flac 1.5.0-1
flex 2.6.4-5
fluidsynth 2.4.3-1
fmt 11.1.4-1
fontconfig 2:2.16.1-1
freecad 1.0.0-9
freeglut 3.6.0-1
freetype2 2.13.3-3
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fzf 0.60.3-1
gawk 5.3.1-2
gc 8.2.8-2
gcc 14.2.1+r753+g1cd744a6828f-1
gcc-libs 14.2.1+r753+g1cd744a6828f-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-8
gdbm 1.24-2
gdk-pixbuf2 2.42.12-2
gdm 48.0-1
gdm-settings 5.0-1
geoclue 2.7.2-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gestures 0.3.1-2
gettext 0.24-1
ghostscript 10.05.0-1
gi-docgen 2025.3-1
giflib 5.2.2-1
git 2.49.0-1
git-filter-repo 2.47.0-2
gjs 2:1.84.1-1
gl2ps 1.4.2-3
glances 4.3.1-1
glew 2.2.0-7
glfw 3.4-2
glib-networking 1:2.80.1-1
glib2 2.84.0-1
glib2-devel 2.84.0-1
glibc 2.41+r9+ga900dbaf70f0-1
glibmm 2.66.8-1
glibmm-2.68 2.84.0-1
glslang 15.1.0-1
glu 9.0.3-2
glycin 1.2.0-1
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-bluetooth-3.0 47.1-1
gnome-browser-connector 42.1-7
gnome-calculator 48.0.2-1
gnome-clocks 48.0-1
gnome-color-manager 3.36.2-1
gnome-console 48.0.1-1
gnome-control-center-x11-scaling 48.0-1
gnome-desktop 1:44.1-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-disk-utility 46.1-1
gnome-keybindings-x11-scaling 48.0-1
gnome-keyring 1:48.0-1
gnome-nettool 42.0-3
gnome-online-accounts 3.54.1-1
gnome-power-manager 43.0-2
gnome-screenshot 41.0+r39+ga362197-3
gnome-session 47.0.1-1
gnome-settings-daemon 48.0-1
gnome-shell 1:48.0-1
gnome-system-monitor 48.0-1
gnome-terminal 3.56.0-1
gnome-text-editor 48.2-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnome-tweaks 46.1-2
gnome-usage 46.1-2
gnome-weather 48.0-1
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.9-1
gobject-introspection 1.84.0-1
gobject-introspection-runtime 1.84.0-1
gperftools 2.16-1
gpgme 1.24.2-1
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.14-4
grep 3.11-1
grilo 0.3.16-1
groff 1.23.0-7
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsfonts 20200910-4
gsm 1.0.22-2
gsound 1.0.3-3
gspell 1.14.0-2
gssdp 1.6.3-2
gssproxy 0.9.2-1
gst-libav 1.26.0-2
gst-plugin-gtk 1.26.0-2
gst-plugin-pipewire 1:1.4.1-1
gst-plugins-bad 1.26.0-2
gst-plugins-bad-libs 1.26.0-2
gst-plugins-base 1.26.0-2
gst-plugins-base-libs 1.26.0-2
gst-plugins-good 1.26.0-2
